id,food_name
94,Plain Daal Fry Daal
95,Daal Makhani
96,Aalu Mutter
97,Chana Masala
98,Mushroom Curry
99,Paneer Butter Masala
100,Veg. Manchurian
101,Chicken Curry
102,Chicken Butter Masala
103,Egg. Curry
104,Keema Curry
105,Veg. Katti Roll
106,Egg. Katti Roll
107,Chicken. Katti Roll
108,Paneer. Katti Roll
109,Plain Naan
110,Butter Naan
111,Garlic Naan
112,Aalu Naan
113,Keema Naan
114,Cheese Naan
115,Butter Roti.
116,Full Chicken Tandoori
117,Half Chicken Tandoori
118,Quater Chicken Tandoori
119,Chicken Tikka
120,Chicken Sekuwa
121,Chicken Wings Poleko
122,Chicken Wings Sekuwa
123,Tandoori Cheese Pizza
124,Tandoori Veg. Pizza
125,Tandoori Mushroom Pizza
126,Tandoori Chicken Pizza
127,Tandoori Mixed Pizza
128,Black Tea Masala
129,Black Tea Normal
130,Milk Tea Normal
131,Milk Tea Masala
132,Apple Tea/Peach Tea
133,Black Coffee
134,Milk Coffee
135,Hot lemon/Lemon Tea
136,Hot Lemon with Honey/Ginger
137,Hot Chocolate
138,Plain Toast (4 pcs).
139,French Toast (2 pcs) ..
140,Boiled Egg (2 pcs)
141,Fried Egg (2 pcs) .
142,Plain Omelette
143,Masala Omelette
144,Veg. Sandwich
145,Egg Sandwich
146,Cheese Sandwich
147,Chicken Sandwich
148,Virgin Mojito
149,Cold Chocolate/Coffee.
150,Lemonade
151,Mineral Water
152,Frooti/Real Juice
153,Coke/Fanta/Sprite 
154,Fresh Lemon Soda
155,Badam Juice
156,Red Bull/Xtreme
157,Jumbo Coke/Fanta/Sprite
158,Can Fruit Juice
159,Masala Coke
160,Lemon Water
161,Sweet Lassi/ Milkshake
162,Chocolate Lassi/ Milkshake
163,Vanilla Lassi/ Milkshake
164,Mango Lassi/ Milkshake
165,Strawberry Lassi/ Milkshake
166,Banana Lassi
167,Lassi with Dry Fruits
168,Mix Lassi
169,Veg Steam Momo
170,Veg Fry/Kothe Momo
171,Veg C Momo
172,Veg Fry C Momo
173,Veg Chilly Momo
174,Veg Choila Momo
175,Paneer Steam Momo
176,Paneer Fry/Kothe Momo
177,Paneer C Momo
178,Paneer Fry C Momo
179,Paneer Chilly Momo
180,Paneer Choila Momo
181,Buff Steam Momo
182,Buff Fry/Kothe Momo
183,Buff C Momo
184,Buff Fry C Momo
185,Buff Chilly Momo
186,Buff Choila Momo
187,Chicken Steam Momo
188,Chicken Fry/Kothe Momo
189,Chicken C Momo
190,Chicken Fry C Momo
191,Chicken Chilly Momo
192,Chicken Choila Momo
193,Veg. Thukpa
194,Egg. Thukpa
195,Buff Thukpa
196,Chicken Thukpa
197,Mixed Thukpa
198,Veg. Chowmein
199,Egg. Chowmein
200,Buff Chowmein
201,Chicken Chowmein
202,Mixed Chowmein
203,Veg. Keema Noodles
204,Buff Keema Noodles
205,Chicken Keema Noodles
206,Plain Rice
207,Veg. Fried Rice
208,Egg. Fried Rice
209,Buff Fried Rice
210,Chicken Fried Rice
211,Mixed Fried Rice
212,Veg. Sizzler
213,Chicken Sizzler
214,Veg Burger
215,Buff Burger
216,Chicken Burger
217,Crunchy Fried Chicken Burger
218,Cheese Pizza
219,Veg. Pizza
220,Mushroom Pizza
221,Chicken Pizza
222,Mixed Pizza
223,Veg Spring Roll
224,Egg Spring Roll
225,Buff Spring Roll
226,Chicken Spring Roll
227,Mixed Spring Roll
228,Veg Chopseuy
229,American Chopseuy
230,Chinese Chopseuy
231,Nepali Salad
232,Green Salad
233,Mix. Salad
234,Fruits Salad (Seasonal).
